id;fname;lname;handle;following;followers
1;once till;protection;quizzically;thoughtfully;lest
2;up;than if since;aw lovingly;below;oh
3;so quart reflecting;before bracelet;hydroxyl quill;aha;doubt behind block
4;properly;burning ballot via;hmph uh-huh;crumble;excluding animated
5;step-mother;catch;whoever more important;that swoosh beyond;duh
6;amputate;closely boil;gah briefly;excepting impersonate allowance;lest
7;vivaciously;jaggedly;tournament aw wisely;mmm which;aw experiment ew
8;training angrily;huzzah mockingly;meh;synthesise;ha ick speed
9;hmph or;wail wrapper besides;queue;enormously mid;bah issue utterly
10;wrongly pro;besides even wherever;ancient important;hence ah unless;encompass caption aw
